# metadata = 1695923608885.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "cluster"]
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
20180213_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0352,0352 L5 ET CTX Glut_1,387,1.0000
20180213_sample_5,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_CLUS_0754,0754 Pvalb Gaba_8,601,0.9400
20180215_sample_1,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_CLUS_0741,0741 Pvalb Gaba_3,600,0.7200
20180220_sample_1,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_CLUS_0784,0784 Sst Gaba_5,551,1.0000
20180220_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0091,0091 L4/5 IT CTX Glut_4,181,1.0000
20180225_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180225_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180225_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0095,0095 L4/5 IT CTX Glut_5,171,0.6700
20180225_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20180225_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0355,0355 L5 ET CTX Glut_1,402,1.0000
